#From http://irsa.ipac.caltech.edu/IRASdocs/exp.sup/ch2/tabC5.html
#60um Band
#Wav   Trans	Detector	Total
27.0	0.00	0.02	0.000
30.0	0.03	0.06	0.01
33.0	0.075	0.09	0.036
36.0	0.115	0.11	0.068
39.0	0.19	0.17	0.174
42.0	0.255	0.23	0.315
45.0	0.31	0.29	0.483
48.0	0.34	0.32	0.585
51.0	0.36	0.34	0.658
54.0	0.36	0.37	0.716
57.0	0.365	0.42	0.824
60.0	0.37	0.46	0.915
63.0	0.36	0.51	0.987
66.0	0.335	0.55	0.990
69.0	0.305	0.61	1.000
72.0	0.275	0.64	0.946
75.0	0.195	0.68	0.713
78.0	0.13	0.76	0.531
81.0	0.04	0.81	0.174
84.0	0.01	0.88	0.047
87.0	0.00	0.91	0.000
